Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Arancini al Ragu,Italian,,"12 oz mozzarella,1 cup peas,8 oz water,  pepper to taste,  salt to taste,6 oz tomato paste,21 oz tomato puree,4 oz red wine,1  Italian sausage,10 oz ground beef,2 cloves garlic,1 stalks celery,1  carrot,1  onion(s)","**See for Risotto alla Milanese recipe.**

Prep:
Mince 1 large carrot, 1 stalk celery, and 1 onion. Remove the skin from the sausage if using it.

Directions:

FILLING
Sauté the carrot, celery, and onion with the lid on until the vegetables are soft, but NOT brown. Peel and crush the garlic and add it to the skillet along with 10.5 oz. ground beef and 7 oz. Italian sausage (or just 1 lb of ground beef, if making this halal).

Once the meat and vegetables are browned, add 4 oz. red wine and cook off the alcohol. Then, stir in salt and freshly ground black pepper to taste, 21 oz. tomato purée, and 6 oz. tomato paste. 

Add 1 cup of water and cook on low with the lid on for AT LEAST 1 hour. Stir every 20 minutes and check on the consistency. Add more water if needed. The filling needs to be thick enough to stuff the arancini without running.

At this point, make the risotto alla milanese (https://airtable.com/tbl92CJHbBm88k4tP/viw3hrVUGyE5Rv4Wi/recILl2QjVvLlq8Og).

ASSEMBLY & COOKING
Shape risotto into little cups. Place a small amount of filling in the hole. Wrap the sides up and around to close the ball. Careful not to overfill or make the risotto layer too thin, or the filling will ooze out. 

Next, roll each ball in flour, whisked egg, and breadcrumbs successively. 

If air frying, preheat the air fryer to 400 F and cook in batches for 10 minutes. Put only one layer of arancini in the basket!

If baking, preheat the oven to 425 F and cook on a baking sheet for 15-20 minutes.

If deep frying, heat oil in a pot until it's boiling. Dunk each ball in the oil for ~2 minutes or until the outside has crisped.

Serve arancini with marinara for dipping if desired.","Source:
- https://www.manusmenu.com/arancine
- (the risotto) https://www.manusmenu.com/saffron-risotto-risotto-alla-milanese",,"Entree,Appetizer",,"IMG_5495.jpeg (https://dl.airtable.com/.attachments/b9c7d0d16d3cd7eb5cb55aaff764694c/8f4c3c29/IMG_5495.jpeg),IMG_5503.jpeg (https://dl.airtable.com/.attachments/7c413adbe1bf8d14f54adb0de946c104/ede2417c/IMG_5503.jpeg),IMG_5609.jpeg (https://dl.airtable.com/.attachments/ffc13f4186a5647e08a33716caa1e53f/b40c4924/IMG_5609.jpeg)",,
Arroz con Pollo (Puerto Rican),Mexican/Latin,,,"https://www.ambitiouskitchen.com/puerto-rican-chicken-and-rice-arroz-con-pollo/
^^ changes:
- 2 tbsp tomato paste instead of 1 cup tomato puree
- use regular peas, pre-defrosted
- use rice recipe from https://www.isabeleats.com/arroz-con-pollo/ except with the seasonings from the PR recipe",,Halal,Entree,,,,
Arroz Rojo,Mexican/Latin,4,,"https://www.isabeleats.com/moms-authentic-mexican-rice/
https://www.foodnetwork.com/recipes/marcela-valladolid/mexican-red-rice-arroz-rojo-recipe-2108347

1 roma tomato, diced***
1/2 cup white onion, diced
1/2 cup peas
1.5 tbsp olive oil
1 clove garlic
1 cups long-grain white rice, rinsed and drained
2 1/2 cups vegetable broth
1.5 tbsp tomato paste
salt, to taste
pepper to taste

Prep:
Let 1 cup rice soak while you dice 1/2 cup onion.

Dice 1 roma tomato and crush 1 clove garlic. Keep the onion separate from these. 

Rinse the rice until the water is clear, then mix in the onion.

Directions:
Sauté the rice and onions in some olive oil for ~6-8 minutes, stirring occasionally, until the rice begins to brown very slightly and the onion becomes soft. It's okay if some grains of rice pop, as this step adds some nuttiness and more depth of flavor to the rice.

Meanwhile, heat 2 1/4 cups of vegetable broth. Mix in 1/2 tbsp tomato paste until it dissolves. Also, defrost 1/2 cup frozen peas.

Add the tomatoes and garlic to the rice and sauté for ~1 min before adding the broth mixture. Bring to a boil, lower the heat to simmer, and cook, covered, for ~15-20 minutes. 

When the rice is fully cooked through, take it off the heat and let it steam with the lid of for another 3-5 min. Then fluff the rice with a fork and mix in the peas. Season with salt to taste.
","Adapted from: 
- https://www.isabeleats.com/moms-authentic-mexican-rice/
&
- https://www.foodnetwork.com/recipes/marcela-valladolid/mexican-red-rice-arroz-rojo-recipe-2108347","Halal,Vegan",Side,45 min,,,
Artichoke Lemon Pesto,Italian,,,,https://www.ful-filled.com/2020/04/02/artichoke-lemon-pesto/,,Sauce,,,,
Avgolemono (Chicken Orzo Soup),Greek,,,"1 3-pound chicken
1 large carrot, cut into large pieces
1 large leek, white and pale-green parts only, halved
½ medium onion
Kosher salt
2 large eggs
6 tablespoons fresh lemon juice
⅔ cup long-grain white rice (preferably Carolina)
Freshly ground black pepper and olive oil (for serving)
RECIPE PREPARATION
Real Talk: This soup is incredible due to its velvety, luxurious texture. Everyone you serve it to will be impressed. BUT you need to fully reduce the broth to 2 quarts, which should only take a half an hour; you can’t even get through an entire episode of Game of Thrones in that time. So have patience, grasshopper! And you’ll also get to brag to said guests that you learned how to temper eggs (cooking them without scrambling) thanks to this recipe.

Bring chicken, carrot, leek, onion, and 4 quarts water to a simmer in a large pot; cook until chicken is cooked through, 45–60 minutes. Transfer chicken to a plate; discard carrot, leek, and onion. Let chicken sit until cool enough to handle.

Continue to cook broth over medium-high heat until reduced to about 2 quarts, about 30 minutes. Season with salt.

Meanwhile, shred meat from thighs and legs; set aside (reserve breasts for another use).

Whisk eggs and lemon juice in a medium bowl until foamy and no streaks remain. Whisking constantly, add 1 cup hot chicken broth, a couple teaspoons at a time at first (don’t pour too much hot broth too quickly or you’ll end up with scrambled eggs), then increasing to a steady stream, until fully incorporated.

Meanwhile, reduce heat to medium and add rice to broth, stirring vigorously so rice doesn’t stick to bottom of pot; cook 5 minutes. Add reserved chicken and continue to cook until chicken is heated through and rice is tender, about 5 minutes more.

Whisking vigorously, slowly drizzle in tempered egg mixture, a couple teaspoons at a time at first, then increasing to a steady stream, until fully incorporated (it will cook instantly).

Reduce heat to medium-low and cook until soup is slightly thickened and velvety and luxurious-looking, about 5 minutes. Remove from heat and season with salt. Let sit 10 minutes to thicken up slightly.

Divide soup among bowls; season with pepper and drizzle with oil.

Do Ahead: Soup can be made 3 days ahead; cover and chill.","
Source: https://www.bonappetit.com/recipe/lemony-chicken-and-rice-soup-avgolemono",Halal,Soup,,,,
Badusha,Indian/Bangali,,,Add a bit of saffron and/or rose syrup to the sugar syrup,"Source: https://www.archanaskitchen.com/badusha-balushahi-recipe

- https://www.vegrecipesofindia.com/balushahi-recipe-badusha-recipe/
- https://hebbarskitchen.com/balushahi-recipe-badusha-recipe/
","Vegetarian,Halal",Dessert,,balushahi_badusha.jpg (https://dl.airtable.com/.attachments/e76278a9fc923881127e450c7c6f7448/266c9c4d/balushahi_badusha.jpg),,
Baguettes,French,,"1 tbsp water,1  egg white(s),6 cups flour,2 tbsp olive oil,4 tsp salt,4.5 tsp yeast,1 tsp sugar,2.5 cups water","Directions:
In a large bowl, mix 2 packets of yeast with warm water and 2 pinches of sugar. Let stand till frothy. 

Put the 2 tbsp olive oil and 4 tsp salt in a large mixing bowl. Mix in 3 cups of flour one cup at a time. It's important to mix thoroughly before adding the next cup of flour so that the olive oil gets distributed evenly. 

At this point, stir in the yeast mixture. Afterwards, stir in the next 3 cups of flour one at a time. 

Knead the dough on a floured board until smooth and elastic. Transfer the dough to a lightly buttered bowl. Cover with plastic wrap and raise 1 hour.


Punch down the dough, divide in half, and roll into loaves. Beat the egg white with the cold water. Brush over the loaves. Cover with plastic wrap and raise for 30 minutes. 


Preheat the oven to 400 degrees and bake 25 minutes. 

Let cool 20 minutes before slicing so that the bread stays fluffy.",Makes two loaves,"Vegetarian,Halal",Bread,3 hours,,,
Baingan Bharta (Punjabi),Indian/Bangali,,,1 tbsp ginger paste,Source: https://www.cookwithmanali.com/baingan-bharta/,"Vegan,Paleo,Vegetarian","Entree,Side",,,,
Bakarkhani Pastry Cookies,Indian/Bangali,,,,"Source: p. 245 of ""My Bangladesh Kitchen"" by Saira Hamilton","Halal,Vegetarian","Cookies,Dessert",,,,
Baked Eggplant Slices,Italian,,,"Salt slices 10 min per side.

Bake at 350˚F for 10-12 min per side, depending on the thickness of the slices

Alternative brining idea:
https://www.thespruceeats.com/baked-eggplant-recipe-2216261",,"Vegan,Halal,Paleo",Side,,,,
